17HCB
1412500,Tran Van A,Nam,111111,
1412501, Tran Van B,Nam,222222,
1412502,Tran Van C,Nam,333333,
1412503,Tran Van D,Nam,444444,
1412504,Tran Van E,Nam,444444,
1412505,Tran Van F,Nam,444444,
1412506,Tran Van D,Nam,444444,
1412507,Tran Van D,Nam,444444,
1412508,Tran Van D,Nam,444444,
1412509,Tran Van D,Nam,444444,
14125010,Tran Van D,Nam,444444,
14125011,Tran Van D,Nam,444444,
14125012,Tran Van D,Nam,444444,
14125013,Tran Van D,Nam,444444,
14125014,Tran Van D,Nam,444444,
14125015,Tran Van D,Nam,444444,
